date,temperature_2m_mean
2021-01-03 18:15:00+00:00,16.074419
2021-01-04 18:15:00+00:00,15.593169
2021-01-05 18:15:00+00:00,16.155668
2021-01-06 18:15:00+00:00,15.374417
2021-01-07 18:15:00+00:00,14.259834
2021-01-08 18:15:00+00:00,14.143167
2021-01-09 18:15:00+00:00,14.945251
2021-01-10 18:15:00+00:00,13.528583
2021-01-11 18:15:00+00:00,11.926499
2021-01-12 18:15:00+00:00,11.005666
2021-01-13 18:15:00+00:00,11.059833
2021-01-14 18:15:00+00:00,11.40775
2021-01-15 18:15:00+00:00,11.361917
2021-01-16 18:15:00+00:00,12.122333
2021-01-17 18:15:00+00:00,12.486917
2021-01-18 18:15:00+00:00,12.089
2021-01-19 18:15:00+00:00,10.8202505
2021-01-20 18:15:00+00:00,10.630668
2021-01-21 18:15:00+00:00,10.907749
2021-01-22 18:15:00+00:00,11.480667
2021-01-23 18:15:00+00:00,10.993167
2021-01-24 18:15:00+00:00,10.484834
2021-01-25 18:15:00+00:00,9.991084
2021-01-26 18:15:00+00:00,10.451502
2021-01-27 18:15:00+00:00,10.278584
2021-01-28 18:15:00+00:00,10.0765
2021-01-29 18:15:00+00:00,9.061917
2021-01-30 18:15:00+00:00,9.09525
2021-01-31 18:15:00+00:00,10.23275
2021-02-01 18:15:00+00:00,11.403583
2021-02-02 18:15:00+00:00,12.053584
2021-02-03 18:15:00+00:00,12.741084
2021-02-04 18:15:00+00:00,11.455666
2021-02-05 18:15:00+00:00,8.70775
2021-02-06 18:15:00+00:00,9.968167
2021-02-07 18:15:00+00:00,12.166083
2021-02-08 18:15:00+00:00,13.949416
2021-02-09 18:15:00+00:00,12.930668
2021-02-10 18:15:00+00:00,13.15775
2021-02-11 18:15:00+00:00,12.84525
2021-02-12 18:15:00+00:00,13.447331
2021-02-13 18:15:00+00:00,13.616085
2021-02-14 18:15:00+00:00,12.555667
2021-02-15 18:15:00+00:00,12.584832
2021-02-16 18:15:00+00:00,12.9140005
2021-02-17 18:15:00+00:00,11.693168
2021-02-18 18:15:00+00:00,12.55775
2021-02-19 18:15:00+00:00,13.651501
2021-02-20 18:15:00+00:00,15.197333
2021-02-21 18:15:00+00:00,15.445251
2021-02-22 18:15:00+00:00,15.832749
2021-02-23 18:15:00+00:00,15.978585
2021-02-24 18:15:00+00:00,16.04108
2021-02-25 18:15:00+00:00,16.045252
2021-02-26 18:15:00+00:00,16.164
2021-02-27 18:15:00+00:00,16.618168
2021-02-28 18:15:00+00:00,16.6015
2021-03-01 18:15:00+00:00,15.397335
2021-03-02 18:15:00+00:00,15.276502
2021-03-03 18:15:00+00:00,15.468169
